node_id,i,j,k,lon,lat,level_hPa,T_K,p_Pa,u_ms,v_ms,omega_pas,Phi,q
549,0,9,2,-10.0,37.75,925,1.5131308447116746e+82,92500.0,31641.2149,32247.0444,-2.0,-2.1780525014399572e+83,0.00690264
549,0,9,3,-10.0,37.75,850,-8.5972285053725e+81,85000.0,-1936.609,7193.325,-2.0,-1.3850479831543276e+83,0.0057652
549,0,9,4,-10.0,37.75,700,4.213808125120238e+80,70000.0,-555.9285,38812.636,2.0,-3.6634129801613134e+83,0.00182022
549,0,9,5,-10.0,37.75,500,8.38357749635118e+81,50000.0,1671.3311,-37175.3598,2.0,5.888116431027125e+82,0.00016291
549,0,9,6,-10.0,37.75,300,-1.992419040943652e+82,30000.0,-23684.8308,-24573.4791,0.0,-7.872568510331414e+83,3.586e-05
610,0,10,1,-10.0,38.0,1000,-3.724938579911381e+82,100000.0,-86943.9357,65998.35,0.0,1000.28,0.00954843
610,0,10,2,-10.0,38.0,925,1.9707572908378325e+82,92500.0,-32562.8702,64164.4528,2.0,-1.9628836196129336e+83,0.00699806
610,0,10,3,-10.0,38.0,850,-1.6846384322451823e+82,85000.0,-16394.7134,-12518.1503,2.0,-1.6156372595230533e+83,0.0054858
610,0,10,4,-10.0,38.0,700,6.215687393398777e+81,70000.0,-1126.8595,44395.4365,2.0,-4.5780955497006763e+83,0.00154293
610,0,10,5,-10.0,38.0,500,-7.64932169073055e+81,50000.0,32206.6129,37267.0209,-2.0,-5.270448068137195e+83,0.00021248
610,0,10,6,-10.0,38.0,300,-1.2803888780806358e+82,30000.0,-53411.1185,-20794.7722,0.0,-2.026639243099217e+84,4.129e-05
671,0,11,1,-10.0,38.25,1000,-5.014217585341226e+82,100000.0,-105813.2319,-120540.6888,0.0,961.05,0.00905867
671,0,11,2,-10.0,38.25,925,1.783329334627575e+82,92500.0,121094.5598,-13798.8503,-2.0,-3.615280623290134e+83,0.00690264
671,0,11,3,-10.0,38.25,850,-1.851495292024948e+81,85000.0,-23934.8834,-27612.379,-2.0,-1.675659715627013e+83,0.00525597
671,0,11,4,-10.0,38.25,700,2.875283612344437e+81,70000.0,-7317.627,8305.2869,2.0,-1.3903604340127775e+83,0.00200724
671,0,11,5,-10.0,38.25,500,-8.388827508323337e+81,50000.0,-12503.949,-57241.896,-2.0,-4.053045059370813e+83,0.00026156
671,0,11,6,-10.0,38.25,300,-1.8896924410382883e+82,30000.0,26196.4507,45568.3611,0.0,-2.4058492039980477e+84,4.399e-05
732,0,12,1,-10.0,38.5,1000,-6.982371615614525e+82,100000.0,-39824.0172,102702.4232,0.0,921.83,0.00905867
732,0,12,2,-10.0,38.5,925,3.6806727987813806e+82,92500.0,-15630.3535,63075.5457,2.0,-3.6945158204714254e+83,0.00666915
732,0,12,3,-10.0,38.5,850,-6.716411958594818e+81,85000.0,16053.4965,16906.8979,2.0,-4.262346828765873e+81,0.00471841
732,0,12,4,-10.0,38.5,700,5.429185440664357e+81,70000.0,-568.9226,-15311.1821,2.0,-4.013351214209451e+82,0.00222907
732,0,12,5,-10.0,38.5,500,4.3588560732228885e+81,50000.0,-62649.9606,-63824.0685,2.0,4.325655021960603e+83,0.00025623
732,0,12,6,-10.0,38.5,300,-5.4462077217154944e+82,30000.0,44340.8589,73322.9354,0.0,-3.240917043342748e+84,4.399e-05
793,0,13,1,-10.0,38.75,1000,-5.177137185174508e+82,100000.0,-32096.2214,9276.9659,0.0,892.41,0.00893976
793,0,13,2,-10.0,38.75,925,3.343654753260171e+82,92500.0,-40719.3112,-58305.2532,2.0,-2.0516195531611582e+83,0.00690264
793,0,13,3,-10.0,38.75,850,-1.3065495894512145e+82,85000.0,43845.4756,-18095.2324,2.0,4.2070036567389725e+82,0.00510754
793,0,13,4,-10.0,38.75,700,-1.9921978931781793e+81,70000.0,-48571.8221,-24509.691,2.0,-3.7754299623753327e+83,0.00241434
793,0,13,5,-10.0,38.75,500,4.55984487003394e+81,50000.0,46390.0488,13096.5511,2.0,-2.53542276235883e+83,0.00019325
793,0,13,6,-10.0,38.75,300,-3.1711588715574645e+82,30000.0,-43597.2007,-54959.5827,0.0,-2.244261731398381e+84,4.627e-05
854,0,14,1,-10.0,39.0,1000,-6.159535650565442e+82,100000.0,56760.7424,19535.5178,0.0,862.99,0.00923965
854,0,14,2,-10.0,39.0,925,3.0942097462985676e+82,92500.0,23412.1609,22163.703,-2.0,-3.430020627707413e+83,0.00709463
854,0,14,3,-10.0,39.0,850,-1.409288628060008e+81,85000.0,-12312.5066,-56238.4739,-2.0,1.542102131399417e+82,0.00556437
854,0,14,4,-10.0,39.0,700,2.5770464730231268e+81,70000.0,23864.3312,-27124.6297,-2.0,4.7962950896019265e+82,0.00289369
854,0,14,5,-10.0,39.0,500,-7.19039723574266e+80,50000.0,11416.2981,-13674.3625,-2.0,1.3769264379239871e+83,0.00020806
854,0,14,6,-10.0,39.0,300,-3.095217674704052e+82,30000.0,-31784.2511,-9056.042,0.0,-2.1843868202516986e+84,4.627e-05
915,0,15,1,-10.0,39.25,1000,-4.813961393930348e+82,100000.0,-12923.0481,59386.9694,0.0,823.76,0.00911864
915,0,15,2,-10.0,39.25,925,2.0192576379130337e+82,92500.0,-32260.7898,4241.7359,-2.0,-3.1272014235508843e+83,0.0069502
915,0,15,3,-10.0,39.25,850,-7.69683256233176e+81,85000.0,12259.4605,61225.2135,-2.0,-1.610663304273486e+83,0.0057652
915,0,15,4,-10.0,39.25,700,-7.893285573505924e+81,70000.0,-13572.1964,67945.2859,-2.0,-5.955164424434279e+83,0.00342989
915,0,15,5,-10.0,39.25,500,1.0586532263869923e+82,50000.0,35799.353,10987.0678,-2.0,-4.654500697070335e+83,0.00019948
